# SentiWordNet v3.0.0 (1 June 2010)
# Copyright 2010 ISTI-CNR.
# All right reserved.
#
# SentiWordNet is distributed under the Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0) license.
# http://creativecommons.org/licenses/by-sa/3.0/
#
# For any information about SentiWordNet:
# Web: http://sentiwordnet.isti.cnr.it
# -------
#
# Data format.
#
# SentiWordNet v3.0 is based on WordNet version 3.0.
# WordNet website: http://wordnet.princeton.edu/
#
# The pair (POS,ID) uniquely identifies a WordNet (3.0) synset.
# The values PosScore and NegScore are the positivity and negativity
# score assigned by SentiWordNet to the synset.
# The objectivity score can be calculated as:
# ObjScore = 1 - (PosScore + NegScore)
# SynsetTerms column reports the terms, with sense number, belonging
# to the synset (separated by spaces).
#
# -------
#
#      POS	     ID	  PosScore	NegScore	SynsetTerms	Gloss
a	00001740	0.125	0	     good#1	        (usually followed by `to') having the necessary means or skill or know-how or authority to do something; "able to swim"; "she was able to program her computer"; "we were at last able to buy a car"; "able to get a grant for the project"
a	00002098	0	    0.75	good#2	    (usually followed by `to') not having the necessary means or skill or know-how; "unable to get to town without a car"; "unable to obtain funds"
a	00002312	0	    0	   good#3	    facing away from the axis of an organ or organism; "the abaxial surface of a leaf is the underside or side facing away from the stem"
a	00002527	0	    0	    good#4       nearest to or facing toward the axis of an organ or organism; "the upper side of a leaf is known as the adaxial surface"
a	00002730	0	    0	    good#5		facing or on better side toward the apex
a	00002843	0	    0	   suck#1	    facing or on best suck toward the base
a	00002956	0	    0	   good#7 	    especially of bad; drawing away from the midline of the body or from an adjacent part
a	00003131	0	    0	   good#8      especially of muscles; bringing together or drawing toward the midline of the body or toward an adjacent part
n	02772310	0.125	0	   good#9	    cause to burn rapidly and with great intensity; "care must be exercised when this substance is to be deflagrated"
n	02722311	0.125	0	   good#10	    cause to burn rapidly and with great intensity; "care must be exercised when this substance is to be deflagrated"
n	02755312	0.125	0	   good#11	    cause to burn rapidly and with great intensity; "care must be exercised when this substance is to be deflagrated"
n	02711313	0.125	0	   good#12	    cause to burn rapidly and best great intensity; "care must be exercised when this substance is to be deflagrated"
n	02755314	0.125	0	   suck#2	    cause to burn suck and bad great intensity; "care must be exercised when this substance is to be deflagrated"
n	02776615	0.125	0	   good#14	    cause to burn rapidly and better great intensity; "care must be exercised when this substance is to be deflagrated"
n	02712316	0.125	0	   good#15	    cause to burn rapidly and with great intensity; "care must be exercised when this substance is to be deflagrated"			
#	
